birthdate	job	ssn	username	registration	name	address	blood_group	company	user_id	mail	current_location	station_ID
		065-06-4297	schroederashley	18 Apr 2025	Rickey Peters		O+	Harrington Inc	103	kholloway@hotmail.com	(Decimal('55.914661'), Decimal('119.024636'))	454
		339-69-3349	hanako77	2019/07/08	中島 真綾	北海道西東京市東上野9丁目2番18号 日本堤ハイツ010	A+	田中建設有限会社	1139	pito@gmail.com	(Decimal('-9.7473555'), Decimal('38.180185'))	732
1986-11-28		625-07-4736	anatolsager	2020/09/29	Hans-Christian Naser	"Rolf-Nerger-Straße 1
71274 Wesel"	O-	Mende	1204	okoester@gmail.com	(Decimal('82.0824945'), Decimal('-71.191919'))	168
1917-12-15		BRRLBC24E67D022M	ludovicobarracco	12/15/2019, 00:00:00	Maria Gatto-Gozzi	"Contrada Salandra, 51 Piano 0
35029, Pontelongo (PD)"	B-	Buscetta e figli	1860	bertoniarmando@tiscali.it	(Decimal('-55.1493435'), Decimal('-72.410400'))	327
1930-07-17		69237485182	emilly52	11/11/2018, 00:00:00	Asafe Caldeira	"Fazenda de Correia, 85
Liberdade
98889-938 Ribeiro do Amparo / CE"	B-	Campos	1144	davi-miguel54@yahoo.com.br	(Decimal('-9.474125'), Decimal('-56.900763'))	215
1992-08-29	脚本家	151-18-4020	matsumotoyui	2020/05/19	小林 くみ子	佐賀県町田市柿木沢新田37丁目15番13号 シャルム明石町082	B-	石川食品株式会社	1251	rika86@gmail.com	(Decimal('40.8691035'), Decimal('-94.234645'))	86
		590-69-5266	reisato	2023/08/23	加藤 加奈	高知県新島村芝公園29丁目22番16号 東三島アーバン888	O-	株式会社山口印刷	594	satomi74@yahoo.com	(Decimal('65.9289235'), Decimal('30.568642'))	169
2024-11-02		909-71-4465	xloechel	2022-09-03	Antonia Cichorius	"Hörleweg 2-6
11320 Peine"	A-	Röhricht AG	611	wulfgitta@yahoo.de	(Decimal('-80.0465165'), Decimal('-103.181661'))	686
2018-12-30	Charity officer	493-01-2743	brennanlisa	2021/09/30	Michele Wright		AB+	Ward, Olson and Cook	1799	osimmons@yahoo.com	(Decimal('-34.280258'), Decimal('54.155148'))	652
		01493578693	novaesagatha	2021-08-30	Srta. Ana Carolina Marques	"Quadra da Cunha, 715
Vila Santa Monica 2ª Seção
07722-729 Vargas / RO"	A+	Costa Ferreira - ME	133	caue79@uol.com.br	(Decimal('83.560201'), Decimal('140.012820'))	142
2020-10-12		124-55-7184	thomaslori	2019-11-17	Devon Lawrence	"144 Edward Rest
South Tyler, AZ 70229"	AB+	Montoya, Lopez and Gutierrez	542	vtaylor@hotmail.com	(Decimal('87.663129'), Decimal('-98.585858'))	664
